Ticker,Variance
NVR,819932.33
GOOG,101291.88
BKNG,99065.67
GOOGL,96529.58
CMG,77817.61
MTD,47270.47
AZO,40679.17
EQIX,22733.36
NFLX,19554.16
TSLA,19159.71
TDG,18657.53
MKTX,17741.89
CHTR,17301.55
NOW,17119.68
BIO,15554.3
ADBE,15282.8
ALGN,14040.8
PAYC,11718.58
IDXX,10919.36
ABMD,10563.87
MSCI,10542.44
BLK,10192.3
LRCX,10121.49
BA,9475.04
TMO,9456.53
TDY,9029.07
DPZ,8333.81
REGN,7799.46
TFX,7676.71
ROP,7366.08
MA,7337.57
INTU,6789.38
ORLY,6684.29
ZBRA,6482.33
SPGI,6426.38
TYL,6387.68
EPAM,6307.08
HUM,6287.11
CTAS,6215.55
ANSS,6053.33
AVGO,6039.92
POOL,5945.59
ILMN,5605.74
SIVB,5360.16
COST,5244.85
MPWR,5168.27
UNH,4996.07
LMT,4831.86
SEDG,4800.13
SBAC,4478.53
NOC,4269.42
COO,4217.23
ANTM,4154.57
WST,4000.75
ADSK,3983.2
MCO,3972.07
TECH,3948.51
FDS,3810.71
GE,3749.74
GWW,3747.0
ISRG,3669.39
VRTX,3114.07
AMT,2998.87
ULTA,2912.56
MSFT,2904.78
VRSN,2891.2
FLT,2855.72
SNPS,2845.86
APD,2758.65
META,2730.13
KLAC,2722.31
MHK,2663.21
HD,2662.5
CRM,2617.94
EL,2584.55
IPGP,2577.69
PYPL,2573.67
GNRC,2419.99
MOH,2292.95
V,2269.53
DE,2265.98
NSC,2255.78
TTWO,2143.49
LHX,2141.41
ODFL,2134.26
CRL,2128.74
ACN,2100.44
DHR,2083.07
RMD,2074.96
GPN,2070.98
SHW,2064.99
BIIB,2056.84
LIN,2051.23
DG,2009.09
SYK,1937.8
BDX,1916.72
CME,1825.05
URI,1823.12
HII,1781.56
ROK,1766.74
MCD,1736.68
PH,1692.7
MLM,1686.69
AON,1668.84
AMZN,1650.75
ETSY,1641.85
FDX,1594.15
MSI,1557.96
NDSN,1515.09
STE,1513.29
WAT,1497.18
VRSK,1494.71
IEX,1470.39
UNP,1469.35
ZTS,1438.94
ECL,1315.72
MRNA,1304.39
IQV,1255.17
JKHY,1243.46
ENPH,1233.3
MTCH,1213.8
NVDA,1209.93
ITW,1183.41
ESS,1173.43
AMGN,1130.28
CMI,1115.46
WTW,1108.37
CLX,1102.93
STZ,1092.51
CDW,1073.2
CAT,1064.57
ADP,1052.34
HON,992.4
TXN,983.88
RE,978.26
BR,977.4
TGT,944.67
LLY,936.15
WYNN,933.83
GS,929.81
KEYS,912.08
AWK,910.21
CCI,906.36
CPRT,890.09
CDNS,828.11
ARE,813.51
SPG,806.14
FIS,805.93
CI,785.9
LOW,777.89
PVH,761.32
HCA,753.03
CTXS,740.75
MCK,739.71
MAR,735.65
AMP,730.0
AAPL,728.6
AVY,720.93
QRVO,713.28
DXCM,710.07
PXD,692.72
LH,682.6
TT,675.54
DLR,665.95
IT,660.71
ALB,650.0
ADI,645.59
GD,642.67
WMT,641.83
SWK,631.41
MTB,611.11
EA,608.23
TROW,603.17
PKI,600.83
TER,598.06
NDAQ,591.64
TMUS,585.81
FANG,581.74
WM,578.35
FISV,576.97
AMD,575.21
QCOM,573.34
RCL,559.69
PTC,558.3
HSY,554.91
LDOS,553.43
MMM,549.2
FMC,545.9
PNC,544.9
EFX,543.88
JPM,543.0
DXC,541.58
FFIV,538.93
DRI,538.54
BBY,538.4
GRMN,537.16
TSCO,532.77
NKE,523.89
AJG,518.45
DOV,517.5
SWKS,509.39
AAP,500.99
ABT,488.2
CE,480.64
PG,478.32
ROST,475.74
CBOE,468.12
PGR,459.69
WHR,455.4
PKG,436.63
A,436.49
FRC,435.99
ANET,427.6
AXP,420.08
MMC,416.81
PLD,416.41
AIZ,415.66
PSA,409.4
CTLT,409.21
UPS,396.75
CDAY,396.67
EW,394.09
JNJ,392.13
HLT,389.63
AME,389.1
J,378.21
ICE,371.52
INCY,370.92
MAA,370.14
JBHT,369.04
RL,368.4
YUM,368.32
ALLE,365.29
NXPI,364.7
VMC,362.34
MKC,361.53
RSG,348.1
XYL,346.05
AVB,345.87
DIS,342.23
EXPE,336.54
CZR,335.98
PEP,334.62
ATO,334.05
EOG,333.51
BAX,328.38
ATVI,327.2
AKAM,322.99
DGX,321.77
ETR,321.39
SLB,320.01
UAL,317.92
BALL,312.66
WEC,303.73
AMAT,301.57
SRE,298.68
CB,297.78
APTV,294.31
KHC,291.32
EXR,287.52
CINF,284.23
ABBV,281.35
OXY,280.97
ALL,279.37
TEL,277.54
WDC,277.35
CMA,274.45
VLO,274.08
ETN,273.44
TAP,272.6
LYV,267.05
CHD,252.2
PENN,250.24
SBNY,250.22
DTE,249.54
MU,247.43
NEE,242.22
KMB,239.73
FRT,237.91
TRV,237.05
NTAP,236.54
SBUX,235.45
KMX,234.11
BBWI,228.61
ES,219.91
ZBH,216.45
GL,215.77
PAYX,211.97
AEE,209.66
DISH,208.23
EXPD,207.72
CPT,204.82
PSX,201.6
LW,200.44
CNC,199.4
DD,198.37
VTRS,196.72
MDT,195.78
HAS,195.33
AEP,193.26
CCL,192.27
APA,191.31
CVX,191.15
NTRS,183.86
NCLH,180.51
DHI,179.03
ALK,178.79
SYY,178.48
UHS,167.85
PRU,166.79
VFC,166.46
PPG,163.86
DVA,161.09
OKE,160.41
SNA,159.32
DLTR,156.56
IFF,155.76
TSN,155.45
XEL,150.85
MRK,150.01
DFS,149.38
STT,149.33
EMN,148.49
MCHP,147.71
WAB,146.82
COF,146.82
NEM,144.44
BXP,144.33
WBA,138.82
PCAR,138.34
MPC,136.65
PNW,135.04
AAL,134.38
CHRW,133.42
UAA,132.75
MNST,131.87
FBHS,129.18
HAL,128.64
CVS,128.54
LNC,126.15
DVN,124.51
CMS,113.88
PARA,113.5
LYB,113.31
INTC,109.51
PWR,108.73
APH,107.56
EMR,106.86
TWTR,106.68
RTX,105.51
RJF,105.38
CAH,104.25
C,102.78
DUK,101.92
TRMB,101.9
TJX,101.72
STX,100.92
LEN,100.19
ED,100.09
NWL,99.92
GILD,98.69
COP,98.4
BRO,98.05
HOLX,97.08
XOM,96.7
WELL,95.54
LVS,94.84
CBRE,93.13
MS,91.71
VNO,90.68
NLSN,90.27
TXT,90.22
O,88.94
CSCO,88.71
NRG,86.28
SJM,86.01
PM,85.89
ZION,85.15
AOS,83.27
MAS,82.64
RHI,81.86
IBM,81.44
ABC,81.29
CF,79.36
EVRG,78.77
WRK,78.43
DAL,77.35
LNT,77.06
BSX,76.36
HES,75.92
LUV,75.8
GPC,74.68
FTV,74.35
FAST,74.21
PHM,72.75
SCHW,72.24
AIG,71.03
CARR,70.62
WRB,70.16
EBAY,69.68
PEG,68.75
VTR,68.31
TPR,67.92
CTSH,66.71
EQR,64.99
NUE,63.28
SO,62.16
WFC,62.05
UA,61.39
ROL,61.15
AFL,60.8
D,58.79
PFG,57.18
XRAY,57.11
ORCL,56.85
MOS,55.05
BWA,52.7
BKR,51.75
VZ,50.69
REG,49.67
TFC,49.55
OTIS,48.81
FTNT,47.95
HRL,46.97
MDLZ,46.54
OMC,46.17
EIX,45.23
DOW,44.47
CSX,43.64
DRE,42.73
HIG,42.25
CFG,41.89
CMCSA,41.52
BAC,38.19
USB,37.54
GIS,37.27
IVZ,37.21
CL,36.73
FE,36.62
CPB,36.6
MO,35.68
L,35.34
BK,34.69
KO,33.54
IR,32.92
HSIC,32.38
BMY,32.15
GLW,31.76
IP,29.95
BEN,29.54
GM,29.3
UDR,29.06
MRO,28.66
MGM,27.92
PNR,27.06
WMB,25.95
MET,23.72
K,22.97
KMI,22.71
HWM,22.7
EXC,21.97
FITB,21.8
CTVA,21.65
JCI,21.28
SEE,20.73
KR,20.02
FOXA,19.44
CNP,18.88
ADM,18.83
LKQ,18.82
PFE,18.7
FOX,18.39
FCX,17.52
SYF,17.31
HPQ,15.73
WBD,15.43
CAG,15.08
NI,13.92
NLOK,13.45
AES,13.25
CTRA,11.64
PEAK,11.24
WY,11.17
KIM,11.05
LUMN,10.6
RF,10.25
IRM,8.81
KEY,8.18
VICI,8.16
PPL,7.2
HPE,5.79
HST,5.77
T,4.97
JNPR,4.13
HBAN,4.01
IPG,3.66
NWSA,3.18
NWS,2.91
F,2.26
AMCR,1.04
